2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,0.2,0.0,2.4,0.0,0.0,0.0,2.2,0.0,0.0,5.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.4,3.9,9.9,0.0,7.6,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,17.8,0.0,8.6,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.4,0.0,1.8,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,51.2
6,0.0,0.0,0.0,0.0,5.8,35.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.0,0.2
7,0.2,0.0,0.0,0.0,0.0,14.6,11.2,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
8,0.0,0.0,0.0,0.0,0.0,8.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0
9,2.2,0.0,0.0,0.0,0.0,1.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.4
10,0.2,0.0,0.0,0.0,7.2,0.0,0.4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,1.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.2,0.2,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24.6,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
